types,subjects,propositions,labels
implication,algebra,"the product of any matrix and a scalar is always a scalar, therefore, the sum of any algebraic numbers is not always algebraic.",1
implication,algebra,if any equation can be solved by only using addition or subtraction then any vector is always orthogonal.,1
implication,algebra,the sum of the squares of any two imaginary numbers is always non-positive implies the product of two consecutive integers is always even.,1
implication,algebra,"the quotient of any two polynomials is not a polynomial ( if the denominator is non-zero, therefore, the product of any two non-integers is always a non-integer.",1
implication,algebra,"if the quotient of any two radicals is not always a radical, even when the denominator is not a perfect square then the product of any radical and a complex number is always a complex number.",1
implication,algebra,any diagonal matrix is always invertible implies the product of a complex number and a real number is commutative.,1
implication,algebra,"the difference of any two odd integers is always even, therefore, the sum of any two irrational numbers is always rational.",0
implication,algebra,if any diagonal matrix is always invertible then the product of the roots of a polynomial is equal to the constant term divided by the coefficient of the highest degree term.,1
implication,algebra,the value of a variable in an equation is always unique implies any real number is not an algebraic number.,1
implication,algebra,"the product of any two integers is always even if at least one of them is even, therefore, the difference of any two positive numbers is always positive.",0
implication,algebra,if the leading coefficient of a constant polynomial is always the constant value then the difference of any two matrices is not always a matrix.,0
implication,algebra,the sum of any two polynomials with different degrees is not a polynomial with a degree equal to the maximum of the degrees of the factors implies the product of any two polynomials is not always a polynomial.,1
implication,algebra,"the sum of any algebraic number and a transcendental number is always algebraic, therefore, the product of radicals with the same radicand is equal to the radical of the product of the radicands.",1
implication,algebra,if the product of a real number and a complex number is always a complex number then the sum of any two polynomials is not commutative.,0
implication,algebra,the sum of a rational number and an irrational number is always irrational implies the quotient of any number and one is always the original number.,1
implication,algebra,"the quotient of a real number and a non-zero complex number is always a complex number, therefore, the product of any number and zero is always zero.",1
implication,algebra,if the product of any algebraic numbers is always algebraic then the square of any non-zero complex number is never zero.,1
implication,algebra,the product of any radical and a real number is always a real number implies the quotient of any real number and a non-zero irrational number is always an irrational number.,1
implication,algebra,"the sum of the roots of a polynomial is equal to the negative of the coefficient of the linear term divided by the coefficient of the highest degree term, therefore, the difference of any two polynomials is always a polynomial.",0
implication,algebra,if the quotient of any non-zero number and itself is always one then the sum of the roots of a polynomial is always a real number.,0
implication,algebra,the product of any rational and a radical is not always a radical  implies the sum of any two non-integers is always a non-integer.,0
implication,algebra,"the sum of any number and its opposite is always zero, therefore, the cube of any number is always greater than the number.",0
implication,algebra,if the sum of any two rational numbers is always a rational number then the difference of any complex number and its conjugate is always purely imaginary.,1
implication,algebra,"the quotient of any two integers is a rational number, if the denominator is non-zero implies the imaginary part of the product of any two complex numbers is equal to the product of the real part of the first number and the imaginary part of the second number plus the product of the imaginary part of the first number and the real part of the second number.",1
implication,algebra,"the product of a rational number and an irrational number is always irrational, therefore, the product of two polynomials with different degrees is a polynomial with a degree greater than or equal to the sum of the degrees of the factors.",0
implication,algebra,if the product of any rational and a radical is always a radical then the product of any two polynomials is a polynomial.,1
implication,algebra,the product of any algebraic number and a transcendental number is always algebraic implies the product of a complex number and its conjugate is the square of the absolute value.,1
implication,algebra,"the product of any two complex numbers is always a complex number, therefore, the product of any algebraic number and a transcendental number is always algebraic.",1
implication,algebra,if any polynomial function is always continuous then the cube of any non-negative number is always positive.,1
implication,algebra,the square of any real number is always non-negative implies the product of the roots of any polynomial is equal to the  constant term of the polynomial divided by the coefficient of the highest degree term.,1
implication,algebra,"the quotient of any two odd integers is always odd, therefore, the product of any complex number and its conjugate is real non-negative number.",1
implication,algebra,if Any non-real number's cube is always non-real then the product of any non-zero complex number and its reciprocal is always one.,1
implication,algebra,the product of two polynomials with different degrees is a polynomial with a degree greater than or equal to the sum of the degrees of the factors implies the product of a real number and an imaginary number is not always imaginary.,1
implication,algebra,"the square of any complex number is not always non-negative, therefore, the sum of any complex number and its conjugate is always real.",1
implication,algebra,if the product of two positive numbers is always positive then the sum of any two irrational numbers is always irrational.,0
implication,algebra,the sum of any two polynomials is not commutative implies any matrix is always diagonalizable.,1
implication,algebra,"the sum of any algebraic and a transcendental number is always transcendental number, therefore, the product of any rational and a radical is not always a radical .",1
implication,algebra,if the degree of the sum of two polynomials is not always the maximum of the degrees of the summands then the product of any complex number and its conjugate is real non-negative number.,1
implication,algebra,the quotient of any algebraic number and a non-zero transcendental number is not always algebraic implies a polynomial of odd degree has at least one real root.,1
implication,algebra,"the difference of any two imaginary numbers is not always an imaginary number, therefore, the product of any two polynomials is commutative.",1
implication,algebra,if the dot product of any two vectors is equal to the product of their absolute values times the cosine of the angle between them then the leading coefficient of a polynomial is the coefficient of the term with the highest degree.,1
implication,algebra,the product of any two imaginary numbers is always an imaginary number implies the product of any rational and a radical is not always a radical .,1
implication,algebra,"the sum of any two imaginary numbers is always an imaginary number, therefore, The sum of any two vectors is not always a vector.",0
implication,algebra,if the sum of any two complex numbers is always an imaginary number then the quotient of any two polynomials is not a polynomial ( if the denominator is non-zero.,1
implication,algebra,the product of two complex numbers is distributive over addition and subtraction implies the sum of any two radicals is always a radical.,0
implication,algebra,"the difference of any complex number and its conjugate is always purely imaginary, therefore, the product of a rational number and an irrational number is always irrational.",1
implication,algebra,if the product of any two even integers is not always even then The sum of any rational and a radical is always a radical.,1
implication,algebra,the quotient of any algebraic number and a non-zero transcendental number is not always algebraic implies the product of any two imaginary numbers is always an imaginary number.,1
implication,algebra,"the product of a complex number and its conjugate is the square of the absolute value, therefore, the reciprocal of any non-zero number is always less than the number.",0
implication,algebra,if the integral of any polynomial is not a polynomial then any matrix with a non-zero determinant is not invertible.,1
implication,algebra,the product of any algebraic and a transcendental number is always a transcendental number implies the sum of any real number and an imaginary number is always complex.,1
implication,algebra,"the sum of any two positive numbers is not always positive, therefore, any polynomial function is always continuous.",1
implication,algebra,if the sum of any rational and a radical is not always a radical then the quotient of a rational number and a non-zero irrational number is not always irrational.,1
implication,algebra,a polynomial of odd degree has at least one real root implies the sum of any algebraic number and a transcendental number is always algebraic.,0
implication,algebra,"any diagonal matrix is always invertible, therefore, the product of any two polynomials is commutative.",1
implication,algebra,if the sum of any rational number and an irrational number is always irrational then any equation with a degree greater than 2 always has more than 2 solutions.,0
implication,algebra,The difference of two vectors is not always a vector implies the product of a complex number and a real number is commutative.,1
implication,algebra,"the sum of any two imaginary numbers is always an imaginary number, therefore, the product of any two polynomials is a polynomial.",1
implication,algebra,if the sum of any two integers is always an integer then the product of any two complex numbers is commutative.,1
implication,algebra,the sum of any two even integers is always odd implies the product of any rational number and an irrational number is always irrational.,1
implication,algebra,"any real number is an irrational number, therefore, the product of any two matrices is not always a matrix.",1
implication,algebra,if The sum of two complex numbers is always a complex number then the quotient of a real number and a non-zero complex number is always a complex number.,1
implication,algebra,the sum of the squares of any two imaginary numbers is always non-positive implies the product of any two non-integers is always a non-integer.,0
implication,algebra,"any polynomial function is always continuous, therefore, any irrational number is not a real number.",1
implication,algebra,if the square of any non-zero number is always positive then the difference of any two even integers is always even.,1
implication,algebra,the product of any real number and any complex number is commutative implies the difference of any two odd integers is always odd.,0
implication,algebra,"any vector is always orthogonal, therefore, the product of any two matrices is not always a matrix.",1
implication,algebra,"if the sum of any two polynomials is a polynomial then the product of two complex numbers is commutative, when one of them is real.",1
implication,algebra,the cube of any number is always greater than the number implies the real part of the product of any two complex numbers is equal to the product of the real part of the first number and the real part of the second number minus the product of the imaginary part of the first number and the imaginary part of the second number.,1
implication,algebra,"any polynomial function is always differentiable, therefore, the quotient of any two polynomials is always a polynomial.",1
implication,algebra,"if the quotient of any algebraic numbers is not always algebraic, if the denominator is non-zero then the sum of any two polynomials is always a polynomial.",1
implication,algebra,the product of any two irrational numbers is always rational implies the inverse of a matrix is not always a matrix.,1
implication,algebra,"The product of two irrational numbers is always irrational, therefore, any real number is not an algebraic number.",1
implication,algebra,if the square of any imaginary number is always a real number then any real number is an irrational number.,0
implication,algebra,the reciprocal of any non-zero number is always positive implies any matrix is always diagonalizable.,1
implication,algebra,"Real numbers are complex numbers, therefore, the sum of any two polynomials is a polynomial.",1
implication,algebra,if the quotient of any radical and a non-zero real number is always a real number then the product of any real number and an irrational number is always an irrational number.,1
implication,algebra,the square of any positive number is always positive implies Any non-real number's cube is always non-real.,0
implication,algebra,"the sum of any two even integers is always odd, therefore, the sum of any number and zero is always the original number.",1
implication,algebra,if the product of a rational number and a real number is always a real number then the product of any two rational numbers is always a rational number.,1
implication,algebra,the product of a real number and i (imaginary unit) is equal to the product of i and the real number times i implies the product of any two non-zero numbers is always non-zero.,0
implication,algebra,"the product of any matrix and a scalar is always a scalar, therefore, the degree of a polynomial with only one variable is the highest power of that variable.",1
implication,algebra,if the quotient of any non-zero number and another non-zero number is always non-zero then The sum of any two odd integers is not always even.,1
implication,algebra,the quotient of any two non-integers is always a non-integer implies the product of any complex number and its conjugate is real non-negative number.,1
implication,algebra,"a radical is in simplest form if the radicand does not contain any perfect square factors, therefore, the quotient of any two integers is a rational number, if the denominator is non-zero.",1
implication,algebra,if the product of any rational number and an irrational number is always irrational then the sum of any two polynomials is a polynomial.,1
implication,algebra,the product of any algebraic and a transcendental number is always a transcendental number implies the sum of any two radicals is not always a radical.,1
implication,algebra,"the sum of any radical and an irrational number is not always irrational, therefore, the sum of a rational number and an irrational number is always irrational.",1
implication,algebra,if the product of the roots of any polynomial is equal to the  constant term of the polynomial divided by the coefficient of the highest degree term then the product of a rational number and an irrational number is always irrational.,1
implication,algebra,the product of any two matrices is always a scalar implies the sum of any two irrational numbers is always irrational.,1
implication,algebra,"The sum of any rational and a radical is always a radical, therefore, any matrix with a non-zero determinant is not invertible.",1
implication,algebra,if The product of any number and its square is always one then any matrix with a non-zero determinant is not invertible.,1
implication,algebra,the sum of any two imaginary numbers is always an imaginary number implies any polynomial function is always differentiable.,1
implication,algebra,"the product of any two imaginary numbers is not always an imaginary number, therefore, the product of any complex number and its conjugate is real non-negative number.",1
implication,algebra,if the square of any non-real number is always non-real then the square of any non-negative number is always positive.,1
implication,algebra,the inverse of a matrix is not always a matrix implies the sum of the squares of any two real numbers is always non-negative.,1
implication,algebra,"the difference of any two even integers is not always even, therefore, any polynomial function is always continuous.",1
implication,algebra,"if the sum of a scalar and a matrix is not always a matrix then the quotient of any algebraic numbers is not always algebraic, if the denominator is non-zero.",1
implication,algebra,the product of any two imaginary numbers is always an imaginary number implies any diagonal matrix is always invertible.,1
implication,algebra,"a radical is in simplest form if the radicand does not contain any perfect square factors, therefore, the sum of any two matrices is always a scalar.",0
implication,algebra,if the product of a complex number and a real number is commutative then the sum of the squares of a binomial is equal to the square of the sum plus twice the product of the first term and the second term.,1
implication,algebra,the sum of any algebraic and a transcendental number is always transcendental number implies the reciprocal of any non-real number is always non-real.,0
implication,algebra,"the sum of any two integers is always an integer, therefore, the sum of any two radicals is always a radical.",0
implication,algebra,if the product of any two matrices is always a scalar then the product of a rational number and a real number is always a real number.,1
implication,algebra,the sum of the roots of a polynomial is equal to the negative of the coefficient of the linear term divided by the coefficient of the highest degree term implies the sum of the squares of any two imaginary numbers is always non-positive.,1
implication,algebra,"the difference of any two odd integers is always even, therefore, the product of radicals with the same radicand is equal to the radical of the product of the radicands.",1
implication,algebra,if The difference of a number and its square is always zero then the sum of any two integers is always an integer.,1
implication,algebra,the product of the roots of any polynomial is equal to the  constant term of the polynomial divided by the coefficient of the highest degree term implies the derivative of any polynomial is not a polynomial.,0
implication,algebra,"the quotient of any two radicals is not always a radical, even when the denominator is not a perfect square, therefore, the product of a complex number and a real number is commutative.",1
implication,algebra,if the product of the roots of a polynomial is always a real number then the product of any two integers is always even if at least one of them is even.,1
implication,algebra,the difference of any two imaginary numbers is not always an imaginary number implies the degree of a polynomial is always a non-negative integer.,1
implication,algebra,"the quotient of any non-zero number and another non-zero number is always non-zero, therefore, the product of any two complex numbers is always a complex number.",1
implication,algebra,if the product of the roots of a polynomial is equal to the coefficient of the linear term of the polynomial then the product of the roots of a polynomial is equal to the constant term divided by the coefficient of the highest degree term.,1
implication,algebra,the reciprocal of any non-zero number is always positive implies any complex number is a real number.,1
implication,algebra,"the difference of any two odd integers is always odd, therefore, the degree of the product of two polynomials is the sum of the degrees of the factors.",1
implication,algebra,if the product of any matrix and a scalar is always a scalar then the sum of a rational number and an irrational number is always irrational.,1
implication,algebra,the quotient of any two complex numbers is always an imaginary number implies the product of any radical and an irrational number is not always irrational.,1
implication,algebra,"the product of two polynomials with different degrees is a polynomial with a degree greater than or equal to the sum of the degrees of the factors, therefore, the product of any complex number and its conjugate is real non-negative number.",1
implication,algebra,if the square of any number is always less than the number then the product of an imaginary number and a real number is not always an imaginary number.,1
implication,algebra,the sum of any two non-real numbers is always non-real implies The sum of two complex numbers is always a complex number.,1
implication,algebra,"Any non-real number's cube is always non-real, therefore, the quotient of a rational number and a non-zero real number is always a real number.",1
implication,algebra,if the product of any two polynomials is commutative then the degree of a polynomial with only one variable is the highest power of that variable.,1
implication,algebra,the product of any non-zero complex number and its reciprocal is always one implies the product of any two polynomials is commutative.,1
implication,algebra,"any matrix is always negative semi-definite, therefore, the quotient of any algebraic numbers is not always algebraic, if the denominator is non-zero.",1
implication,algebra,if the square of any non-zero real number is never zero then the product of any two irrational numbers is always rational.,0
implication,algebra,the product of two polynomials with different degrees is a polynomial with a degree greater than or equal to the sum of the degrees of the factors implies the product of a scalar and a matrix is not always a matrix.,1
implication,algebra,"the product of any two complex numbers is always a complex number, therefore, the sum of any two positive integers is always even.",1
implication,algebra,if the quotient of any two non-integers is always a non-integer then the quotient of any two complex numbers is always an imaginary number.,1
implication,algebra,the quotient of any algebraic number and a non-zero transcendental number is not always algebraic implies any algebraic number is a real number.,1
implication,algebra,"the product of any rational and a radical is not always a radical , therefore, the degree of a constant polynomial is always 0.",1
implication,algebra,if any matrix is always negative definite then the sum of the squares of a binomial is equal to the square of the sum plus twice the product of the first term and the second term.,1
implication,algebra,the product of an imaginary number and a real number is not always an imaginary number implies the product of a complex number and a real number is commutative.,1
implication,algebra,"the square of any real number is always non-negative, therefore, the difference of any two even integers is always even.",1
implication,algebra,if The sum of two complex numbers is always a complex number then the sum of any two imaginary numbers is always an imaginary number.,1
implication,algebra,the leading coefficient of a constant polynomial is always the constant value implies the product of any matrix and a scalar is always a scalar.,0
implication,algebra,"the sum of any two positive integers is always even, therefore, the sum of any two non-real numbers is always non-real.",1
implication,algebra,if Matrixes are always positive definite then the product of a matrix and a scalar is not always a matrix.,1
implication,algebra,the sum of any two polynomials is a polynomial implies the quotient of any irrational number and a non-zero rational number is always irrational.,0
implication,algebra,"the difference of any two odd integers is not always even, therefore, any matrix is always symmetric.",1
implication,algebra,if a radical is in simplest form if the radicand does not contain any perfect square factors then the quotient of any two complex numbers is always an imaginary number.,0
implication,algebra,the product of any non-zero complex number and its reciprocal is always one implies the sum of any algebraic number and a transcendental number is always algebraic.,0
implication,algebra,"the degree of a polynomial is always a non-negative integer, therefore, the difference of any complex number and its conjugate is always purely imaginary.",1
implication,algebra,if the sum of any radical and a complex number is not always a complex number then any polynomial function is always continuous.,1
implication,algebra,"the sum of any two positive integers is always even implies the degree of a radical is the index of the radical, or the value outside the radical sign.",1
implication,algebra,"the sum of a scalar and a matrix is not always a matrix, therefore, the difference of any two odd integers is not always even.",1
implication,algebra,if the product of the roots of a polynomial is equal to the constant term divided by the coefficient of the highest degree term then the quotient of any number and one is always the original number.,1
implication,algebra,the sum of any algebraic and a transcendental number is always transcendental number implies the derivative of any polynomial is not a polynomial.,0
implication,algebra,"the quotient of any two rational numbers is a rational number if the denominator is not zero, therefore, the sum of any two rational numbers is always a rational number.",1
implication,algebra,if the product of two positive numbers is always positive then the product of any number and zero is always zero.,1
implication,algebra,the product of any two matrices is always a scalar implies the product of any two vectors is always a vector.,1
implication,algebra,"the difference of any complex number and its conjugate is always purely imaginary, therefore, the square of any real number is always non-negative.",1
implication,algebra,if the product of any number and its reciprocal is always one then the sum of any two radicals is not always a radical.,1
implication,algebra,the product of any rational and a radical is not always a radical  implies the real part of the product of any two complex numbers is equal to the product of the real part of the first number and the real part of the second number minus the product of the imaginary part of the first number and the imaginary part of the second number.,1
implication,algebra,"the sum of any radical and a real number is not always a real number, therefore, the square of the sum of any two imaginary numbers is always less than or equal to the sum of their squares.",1
implication,algebra,if the difference of any two odd integers is not always even then the product of any two matrices is not always a matrix.,1
implication,algebra,the sum of any two non-zero numbers is always non-zero implies the difference of any two odd integers is always odd.,1
implication,algebra,"An equation with non-real coefficients always has non-real solutions, therefore, the product of any two vectors is always a vector.",1
implication,algebra,if the sum of any two radicals is not always a radical then the quotient of any real number and a non-zero irrational number is always an irrational number.,1
implication,algebra,any matrix is always positive semi-definite implies the product of any number and zero is always zero.,1
implication,algebra,"the sum of the roots of a polynomial is equal to the constant term of the polynomial, therefore, the product of any two polynomials with different degrees is a polynomial with a degree equal to the sum of the degrees of the factors.",1
implication,algebra,"if any matrix is always negative semi-definite then the quotient of any two radicals is not always a radical, even when the denominator is not a perfect square.",1
implication,algebra,the square of the sum of any two imaginary numbers is always less than or equal to the sum of their squares implies the sum of any two imaginary numbers is always an imaginary number.,1
implication,algebra,"the quotient of any real number and a non-zero irrational number is always an irrational number, therefore, Any non-real number's cube is always non-real.",0
implication,algebra,if the product of an imaginary number and a real number is not always an imaginary number then the square of any number is always less than the number.,0
implication,algebra,the product of any two polynomials with different degrees is a polynomial with a degree equal to the sum of the degrees of the factors implies the sum of any number and zero is always the original number.,1
implication,algebra,"the sum of any two non-zero numbers is always non-zero, therefore, the sum of any real number and an imaginary number is always complex.",1
implication,algebra,"if the quotient of any algebraic numbers is not always algebraic, if the denominator is non-zero then the product of any two non-real numbers is always non-real.",1
implication,algebra,the quotient of any non-zero number and another non-zero number is always non-zero implies the product of the roots of a polynomial is always a real number.,1
implication,algebra,"the square of any non-zero complex number is never zero, therefore, the product of any two radicals is not always a radical.",1
implication,algebra,if the product of any two complex numbers is commutative then the sum of any real number and an irrational number is always an irrational number.,1
implication,algebra,the product of any two complex numbers is always an imaginary number implies any real number is an irrational number.,1
implication,algebra,"the difference of any two even integers is always even, therefore, the product of any two complex numbers is always a complex number.",0
implication,algebra,if the product of any real number and an irrational number is always an irrational number then the product of any two irrational numbers is always rational.,0
implication,algebra,the difference of any two imaginary numbers is not always an imaginary number implies any diagonal matrix is always invertible.,0
implication,algebra,"the reciprocal of any non-zero number is always greater than the number, therefore, the quotient of any two non-integers is always a non-integer.",1
implication,algebra,if the value of a variable in an equation is always unique then the quotient of any non-zero number and another non-zero number is always non-zero.,1
implication,algebra,the leading coefficient of a constant polynomial is always the constant value implies the difference of any two odd integers is not always even.,0
implication,algebra,"the degree of a radical is the index of the radical, or the value outside the radical sign, therefore, the product of any algebraic numbers is always algebraic.",0
implication,algebra,"if the sum of any two complex numbers is commutative, meaning  that the order of the numbers does not affect the result then the sum of the squares of any two real numbers is always non-negative.",1
implication,algebra,the product of any two matrices is not always a matrix implies the quotient of any two odd integers is always odd.,1
implication,algebra,"any equation with a degree greater than 2 always has more than 2 solutions, therefore, the quotient of any two odd integers is always odd.",1
implication,algebra,if the product of any radical and a real number is always a real number then any real number is not an algebraic number.,0
implication,algebra,"the quotient of any non-zero number and itself is always one implies the quotient of any two rational numbers, if the denominator is non-zero, is a rational number.",1
implication,algebra,"the product of any two polynomials is a polynomial, therefore, the square of any positive number is always positive.",1
implication,algebra,if the sum of any two odd integers is always even then the sum of any two polynomials with different degrees is not a polynomial with a degree equal to the maximum of the degrees of the factors.,0
implication,algebra,"the quotient of any two complex numbers is not commutative, unless  the denominator is real and non-zero implies the quotient of any two rational numbers is a rational number if the denominator is not zero.",1
implication,algebra,"the sum of any two polynomials with different degrees is not a polynomial with a degree equal to the maximum of the degrees of the factors, therefore, the sum of any two radicals is not always a radical.",1
implication,algebra,if any equation with a degree greater than 2 always has more than 2 solutions then the difference of any two positive numbers is always positive.,1
implication,algebra,the square of any complex number is not always non-negative implies An equation with non-real coefficients always has non-real solutions.,0
implication,algebra,"any equation can be solved by only using addition or subtraction, therefore, the product of the roots of a polynomial is always a real number.",1
implication,algebra,if the sum of any two complex numbers is always an imaginary number then the quotient of any radical and a non-zero rational is always a radical.,1
implication,algebra,the product of any two complex numbers is commutative implies the sum of the roots of a polynomial is equal to the negative of the coefficient of the linear term divided by the coefficient of the highest degree term.,1
implication,algebra,"the sum of any two complex numbers is commutative, meaning  that the order of the numbers does not affect the result, therefore, the sum of a scalar and a matrix is not always a matrix.",0
implication,algebra,if the sum of the roots of a polynomial is equal to the constant term of the polynomial then the product of a rational number and an irrational number is always irrational.,1
implication,algebra,the product of any algebraic and a transcendental number is always a transcendental number implies the product of a real number and a complex number is commutative.,1
implication,algebra,"any real number is a transcendental number, therefore, any real number is a transcendental number.",1
implication,algebra,if the sum of the roots of a polynomial is equal to the negative of the coefficient of the linear term divided by the coefficient of the highest degree term then the sum of any algebraic numbers is not always algebraic.,0
implication,algebra,The square of any number is always greater than the number implies the product of any two polynomials is not commutative.,1
implication,algebra,"the sum of any radical and an irrational number is not always irrational, therefore, the quotient of a real number and a non-zero complex number is always a complex number.",1
implication,algebra,if the quotient of a real number and a non-zero complex number is always a complex number then the difference of any complex number and its conjugate is always purely imaginary.,1
implication,algebra,the product of a scalar and a matrix is not always a matrix implies the product of two polynomials with different degrees is a polynomial with a degree greater than or equal to the sum of the degrees of the factors.,1
implication,algebra,"the product of any real number and any complex number is commutative, therefore, the quotient of any two radicals is not always a radical, even when the denominator is not a perfect square.",0
implication,algebra,if the product of any two matrices is not always a matrix then the quotient of any real number and a non-zero irrational number is always an irrational number.,1
implication,algebra,the quotient of a rational number and a non-zero irrational number is not always irrational implies a real number is irrational if  it cannot be expressed as a ratio of two integers.,1
implication,algebra,"the degree of a polynomial is always a non-negative integer, therefore, the product of the roots of any polynomial is equal to the  constant term of the polynomial divided by the coefficient of the highest degree term.",1
implication,algebra,if the sum of any two irrational numbers is always rational then the sum of the roots of a polynomial is always a real number.,1
implication,algebra,The quotient of any two vectors is always a vector implies the square of any non-zero number is always positive.,1
implication,algebra,"the imaginary part of the product of any two complex numbers is equal to the product of the real part of the first number and the imaginary part of the second number plus the product of the imaginary part of the first number and the real part of the second number, therefore, Any non-real number's cube is always non-real.",0
implication,algebra,if the product of an imaginary number and a real number is not always an imaginary number then the product of any two integers is always an integer.,1
implication,algebra,the quotient of any two matrices is always a matrix implies the product of any two polynomials is not always a polynomial.,1
implication,algebra,"Real numbers are complex numbers, therefore, the quotient of any two odd integers is always odd.",1
implication,algebra,if the sum of the roots of a polynomial is equal to the constant term of the polynomial then the product of any radical and a complex number is always a complex number.,1
implication,algebra,the product of any two polynomials is not commutative implies the quotient of a real number and a non-zero complex number is always a complex number.,1
implication,algebra,"the square of any negative number is always positive, therefore, the product of two negative numbers is always positive.",1
implication,algebra,if the product of two positive numbers is always positive then the sum of any two imaginary numbers is always an imaginary number.,0
implication,algebra,the cube of any non-negative number is always positive implies The sum of any two vectors is not always a vector.,1
implication,algebra,"the quotient of a real number and a non-zero complex number is always a complex number, therefore, the product of a real number and i (imaginary unit) is equal to the product of i and the real number times i.",1
implication,algebra,if the product of any two non-real numbers is always non-real then the sum of the squares of any two imaginary numbers is always non-positive.,1
implication,algebra,the real part of the product of any two complex numbers is equal to the product of the real part of the first number and the real part of the second number minus the product of the imaginary part of the first number and the imaginary part of the second number implies any polynomial function is always differentiable.,0
implication,algebra,"the quotient of any two irrational numbers is always rational, therefore, the product of any two odd integers is always odd.",1
implication,algebra,if the product of any algebraic numbers is always algebraic then the sum of any real number and an irrational number is always an irrational number.,1
implication,algebra,the reciprocal of any non-zero number is always greater than the number implies the reciprocal of any non-zero number is always greater than the number.,1
implication,algebra,"any real number is not an algebraic number, therefore, a real number is irrational if  it cannot be expressed as a ratio of two integers.",1
implication,algebra,if the product of any algebraic and a transcendental number is always a transcendental number then the sum of a rational number and an irrational number is always irrational.,1
implication,algebra,"the quotient of any two rational numbers, if the denominator is non-zero, is a rational number implies the quotient of any algebraic number and a non-zero transcendental number is not always algebraic.",0
implication,algebra,"any matrix is always positive semi-definite, therefore, the product of the roots of a polynomial with real coefficients is always a real number.",1
implication,algebra,if the sum of any two odd integers is always even then the product of any two complex numbers is commutative.,1
implication,algebra,the reciprocal of any non-real number is always non-real implies the quotient of any radical and a non-zero rational is always a radical.,1
